,Coefficient,Std_Error,t_value,p_value
Intercept,10.96131129761009,0.033136811889858564,330.7895561601921,0.0
W(Control) Tech Consulting Industry,-0.1802286580776743,0.025954780011261273,-6.943948590567001,3.8392839148645e-12
Large City x Tech Consulting,0.3795659010462136,0.02243892648888282,16.91551069674685,4.371970339549234e-64
Small City x Tech Consulting,0.23336915569163427,0.022636490207990405,10.309423128204646,6.601231021352649e-25
Unknown City x Tech Consulting,0.3642983184454991,0.021675283324466568,16.807084502295176,2.7217983377781916e-63
